주유소명,주소
현대오일뱅크(주) 직영소월길주유소,서울특별시 용산구 소월로66
선익상사(주) 동자동주유소,서울특별시 용산구 한강대로 104길 6
현대오일뱅크㈜ 직영갈월동주유소,서울특별시 용산구 한강대로 322
서계주유소,서울특별시 용산구 청파로 367
㈜영원에너지 풍기주유소,서울특별시 용산구 원효로178
㈜신태성주유소,서울특별시 용산구 원효로 147
현대오일뱅크㈜ 직영강변주유소,서울특별시 용산구 원효로 9
한국석유공업㈜ 한석주유소,서울특별시 용산구 이촌로 164
(주)중앙에너비스 한남지점,서울특별시 용산구 한남대로 21길 4
한남제3한강주유소 주식회사,서울특별시 용산구 한남대로 45
주식회사 중앙에너비스 에너비스,서울특별시 용산구 한남대로 82
현대오일뱅크㈜ 직영한남동주유소,서울특별시 용산구 한남대로 204
㈜남경주유소,서울특별시 용산구 녹사평대로 11길 24
금호주유소,서울특별시 성동구 금호로 39(금호동4가 187-2)
세원주유소,서울특별시 성동구 광나루로 184(성수동1가 13-11)
SK에너지㈜ 성수주유소,서울특별시 성동구 뚝섬로 352(성수동1가 33-96)
KH에너지㈜ 직영 성수만세주유소,서울특별시 성동구 왕십리로 109(성수동1가 656-1208)
현대오일뱅크㈜ 직영 효진주유소,서울특별시 성동구 동일로 129(성수동2가 19-1)
지에스칼텍스㈜ 도루코주유소,서울특별시 성동구 아차산로 180(성수동2가 19-14)
협진제유산업㈜ 동일주유소,서울특별시 성동구 광나루로 254(성수동2가 289-2)
아이콘주유소,서울특별시 성동구 고산자로 273(도선동 2-4)
㈜ 서울에너지,서울특별시 성동구 천호대로 324(용답동 5-4)
삼우주유소,서울특별시 성동구 천호대로 392(용답동 229-5)
SK에너지㈜ 군자동주유소,서울특별시 성동구 천호대로 446(용답동 236-1)
KLP제2주유소,서울특별시 성동구 동일로 249(송정동 83-3)
경진주유소,서울특별시 성동구 고산자로 348(마장동 522-6)
정호주유소,서울특별시 성동구 고산자로 307(마장동 573-1)
현대오일뱅크㈜ 성동셀프주유소,서울특별시 성동구 마장로 311(마장동 771)
옥수주유소,서울특별시 성동구 독서당로 168(옥수동 449-5)
청계로주유소,서울특별시 성동구 청계천로 454(하왕십리동 291-9)
삼호주유소,서울특별시 광진구 천호대로 809(광장동)
㈜창원씨더블유,서울특별시 광진구 광나루로 460(화양동)
지에스칼텍스㈜구의스타주유소,서울특별시 광진구 자양로 103(자양동)
중원주유소(현대오일뱅크㈜직영주유소),서울특별시 광진구 동일로 398(중곡동)
대성산업㈜구의주유소,서울특별시 광진구 광나루로 570(구의동)
현대오일뱅크㈜직영 장호셀프주유소,서울특별시 광진구 자양로 37(자양동)
용마주유소,서울특별시 광진구 용마산로 68(중곡동)
㈜장수주유소,서울특별시 광진구 동일로 266(군자동)
자양주유소,서울특별시 광진구 아차산로 298(자양동)
능동주유소(현대오일뱅크㈜직영주유소),서울특별시 광진구 천호대로 584(능동)
동서울주유소,서울특별시 광진구 강변역로 10(구의동)
강평주유소,서울특별시 광진구 아차산로 616(광장동)
태양주유소,서울특별시 광진구 동일로 345(중곡동)
대원주유소,서울특별시 광진구 용마산로 122(중곡동)
중곡현대주유소(현대오일뱅크㈜직영주유소),서울특별시 광진구 동일로 435(중곡동)
정해네트웍스(주)일진주유소,서울특별시 광진구 동일로 413(중곡동)
㈜안국에너지 삼원주유소,서울특별시 동대문구 망우로 90(휘경동)
현대오일뱅크㈜ 직영 스피드 주유소 ,서울특별시 동대문구 천호대로 453(장안동)
㈜경동주유소 ,서울특별시 동대문구 이문로 191(이문동)
삼미상사㈜ 장안킹셀프주유소 ,서울특별시 동대문구 한천로 100(장안동)
㈜재건에너지 재정제2주유소 ,서울특별시 동대문구 사가정로 90(전농동)
열린주유소,서울특별시 동대문구 한천로 263(휘경동)
삼영주유소 ,서울특별시 동대문구 답십리로 258(장안동)
동서울고속주유소,서울특별시 동대문구 한천로 414(이문동)
㈜자연에너지 국민주유소 ,서울특별시 동대문구 답십리로 223(답십리동)
배봉로주유소,서울특별시 동대문구 서울특별시립대로 108(전농동)
한영주유소 ,서울특별시 동대문구 망우로 38(휘경동)
오동나무주유소,서울특별시 동대문구 한천로 81(답십리동)
동일석유㈜강남주유소,서울특별시 동대문구 사가정로 130(전농동)
㈜파랑에너지,서울특별시 동대문구 망우로 126(휘경동)
대성산업㈜청량리주유소,서울특별시 동대문구 왕산로 289(청량리동)
㈜홍릉주유소,서울특별시 동대문구 홍릉로 87(청량리동)
재정주유소 ,서울특별시 동대문구 전농로 121(전농동)
풍한주유소 ,서울특별시 동대문구 안암로 168(제기동)
대성산업㈜동마장 주유소,서울특별시 동대문구 고산자로 405(용두동)
동일주유소,서울특별시 성북구 보문로 85
현대오일뱅크(주)직영 아리랑주유소,서울특별시 성북구 아리랑로 96
장위주유소,서울특별시 성북구 화랑로 110
지에스칼텍스(주) 세창주유소,서울특별시 성북구 동소문로 323
지에스칼텍스(주) 종암주유소,서울특별시 성북구 종암로 145
현대오일뱅크(주)직영 광덕셀프주유소,서울특별시 성북구 보문로 89
(주)중앙에너비스 종암지점,서울특별시 성북구 종암로 58
현대오일뱅크(주)직영고대셀프주유소,서울특별시 성북구 종암로 12
㈜이케이에너지(주) 강산제2주유소,서울특별시 성북구 보국문로 52
㈜삼표에너지 정릉주유소,서울특별시 성북구 보국문로 35
SK에너지(주)드림랜드주유소,서울특별시 성북구 월계로 128
지에스칼텍스(주)화랑주유소,서울특별시 성북구 화랑로 185
㈜오만불 신동방주유소,서울특별시 성북구 월계로 84
원천주유소,서울특별시 성북구 돌곶이로 142
삼선주유소,서울특별시 성북구 창경궁로 324
㈜재건에너지재정제2주유소(길음지점),서울특별시 성북구 삼양로 78
신방주유소,서울특별시 성북구 안암로 111
우리주유소,서울특별시 성북구 화랑로 292
현대오일뱅크(주)직영 장삼주유소,"서울특별시 성북구 한천로 612, 화랑로 293"
이케이에너지 주식회사,서울특별시 성북구 보문로 27
(주)성북주유소,서울특별시 성북구 보문로 142
㈜신용구도일주유소 화랑로,서울특별시 성북구 화랑로 174
현대오일뱅크(주)직영 북악셀프주유소,서울특별시 성북구 정릉로 218
㈜명연에너지 효성주유소,서울특별시 성북구 화랑로 27
수유동주유소,서울특별시 강북구 도봉로 395
신광주유소,서울특별시 강북구 삼양로 484
북서울고속주유소,서울특별시 강북구 삼양로 410
㈜석산에너지,서울특별시 강북구 삼양로 316
SK에너지㈜ 매일주유소,서울특별시 강북구 삼양로 217
현대오일뱅크㈜직영 새한셀프주유소,서울특별시 강북구 도봉로 75
㈜지에스이엔알 미아주유소,서울특별시 강북구 도봉로 124
씨앤에스에너지㈜ 미아셀프주유소,서울특별시 강북구 도봉로 200
㈜서울에너지 시민주유소,서울특별시 강북구 인수봉로 185
㈜미래아스팔트 덕릉로주유소,서울특별시 강북구 덕릉로 158
현대오일뱅크㈜ 번동셀프주유소,서울특별시 강북구 한천로 963
세원주유소,서울특별시 강북구 한천로 918
에덴주유소,서울특별시 강북구 월계로 195
(주)명연에너지 수색훼미리주유소,서울특별시 은평구 수색로236 (수색동)
뉴타운 셀프주유소,서울특별시 은평구 통일로1031 (진관동)
다회주유소,서울특별시 은평구 증산로441 (신사동)
대성산업(주)대성주유소,서울특별시 은평구 통일로642 (녹번동)
불광주유소,서울특별시 은평구 연서로314 (불광동)
서울석유(주) 박석고개주유소,서울특별시 은평구 통일로945 (갈현동)
서울석유(주) 은평뉴타운주유소,서울특별시 은평구 통일로924 (불광동)
성원이앤에스(주)은평지점,서울특별시 은평구 통일로968 (진관동)
제이제이에너지,서울특별시 은평구 응암로163 (응암동)
지에스칼텍스(주) 녹번주유소,서울특별시 은평구 통일로600 (녹번동)
지에스칼텍스(주) 서부주유소,서울특별시 은평구 응암로210 (응암동)
지에스칼텍스(주) 수색뉴타운 주유소,서울특별시 은평구 수색로350 (수색동)
지에스칼텍스(주)신사제일주유소,서울특별시 은평구 증산로423 (신사동)
코끼리주유소,서울특별시 은평구 서오릉로41 (녹번동)
타이거주유소,서울특별시 은평구 수색로188 (증산동)
현대오일뱅크㈜직영 은평드림주유소,서울특별시 은평구 통일로1151 (진관동)
삼융주유소,서울특별시 은평구 수색로 299 (수색동)
행촌제2주유소,서울특별시 서대문구 성산로 490(대신동)
㈜중앙에너비스 동교지점,서울특별시 연희로 12(창천동)
㈜안국에너지 삼보주유소,서울특별시 연희로 78(연희동)
구도일주유소 두꺼비,서울특별시 성산로 312(연희동)
sk삼미상사(주)서부주유소,서울특별시 성산로 255(연희동)
현대오일뱅크(주) 직영 연세주유소,서울특별시 연희로 184(연희동)
연희주유소,서울특별시 연희로 129(연희동)
광호주유소,서울특별시 연희로 266(홍은동)
지에스칼텍스(주)홍제동주유소,서울특별시 통일로 372(홍제동)
㈜우남에너지문화사랑주유소,서울특별시 세검정로 87(홍제동)
남정주유소,서울특별시 모래내로 243(남가좌동) 
㈜가재울뉴타운주유소,서울특별시 모래내로 205(남가좌동)
